,type,multinomialNB_average_precision_score,LinearSVC_average_precision_score,SGDClassifier_average_precision_score,SGD_Sum_average_precision_score,SGD_Simp_average_precision_score,SGD_Rand_average_precision_score
0,type_business,0.9120101121723252,0.8925849675483285,0.9717533386475294,0.9161057441079794,0.8780196481357966,0.8118733385731004
1,type_entertainment,0.9671224972462733,0.9281068700888596,0.9635834948092333,0.8557031659403649,0.9029767011477225,0.7386254678747771
2,type_politics,0.8833802237132643,0.9416538537354623,0.9640692293627672,0.9006856356488937,0.8617105705240723,0.7887745513008181
3,type_sport,0.9999048162954502,0.9827354647521049,0.9981269271891757,0.9501877258628524,0.9348800951204097,0.8900878324443091
4,type_tech,0.9080590386624869,0.9569018294439643,0.9601120390705643,0.9348688736903892,0.8837192201362374,0.8415152311698321
